                 metric                 | value
----------------------------------------+-------
 deck_target_cards                      | 7
 target_runtime_rows                    | 8
 target_runtime_missing_hash_rows       | 8
 target_runtime_hash_mismatch_rows      | 0
 target_runtime_live_hash_mismatch_rows | 0
 target_runtime_bad_effect_rows         | 0
 target_runtime_bad_scope_rows          | 0
 backup_candidate_rows                  | 23
 target_deck_cards_missing              | 0
(9 rows)

                  name                   |               card_id                |              oracle_id               |         card_oracle_hash         | mana_cost | cmc |     type_line      | layout | has_faces |                                                                                                                        oracle_text
                card_name                |             normalized_name             |               card_id                |  source   | review_status | execution_status |                logical_rule_key                 | oracle_hash |                                                                                                                         effect_json                                                                                                                         |                                                                                                            notes
-----------------------------------------+-----------------------------------------+--------------------------------------+-----------+---------------+------------------+-------------------------------------------------+-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Fellwar Stone                           | fellwar stone                           | e052e629-239f-49d1-a68f-f678f18e93dc | curated   | active        | auto             | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba |             | {"cmc": 2.0, "effect": "ramp_permanent", "produces": "WUBRGC", "mana_produced": 1, "battle_model_scope": "conditional_opponent_color_mana_rock_v1", "conditionally_produces_opponent_land_colors": true}                                                    | Oracle-reviewed on 2026-06-18 against official Gatherer text: Fellwar Stone taps for one mana of any color that a land an opponent controls could produce. Runtime intentionally models the safe baseline as a live one-mana
 Fellwar Stone                           | fellwar stone                           | e052e629-239f-49d1-a68f-f678f18e93dc | curated   | deprecated    | disabled         | battle_rule_v1:a5270b2fac934dee9b6efc9d0e2ea81d |             | {"effect": "ramp_permanent", "produces": "WUBRGC", "mana_produced": 1}                                                                                                                                                                                      | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG055 2026-06-23: Disabled generated/legacy artifact mana-rock shadow after retaining an oracle-hashed trusted runtime rule for Dec
 Fellwar Stone                           | fellwar stone                           | e052e629-239f-49d1-a68f-f678f18e93dc | generated | needs_review  | disabled         | battle_rule_v1:601753de1461f2f66d16bb51bd3fb408 |             | {"cmc": 2.0, "effect": "ramp_permanent", "mana_produced": 1}                                                                                                                                                                                                | Seeded from known_cards_generated.json; audit before trusting.
 Mana Vault                              | mana vault                              | d2f38c20-79e2-4330-b6ae-ded990a465e4 | curated   | active        | auto             | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff |             | {"cmc": 1.0, "effect": "ramp_permanent", "produces": "C", "mana_produced": 3, "battle_model_scope": "fast_mana_artifact_partial_v1", "tapped_upkeep_damage": 1, "does_not_untap_normally": true, "upkeep_optional_untap_cost_generic": 4}                   | Oracle-reviewed on 2026-06-18 against official Gatherer text: Mana Vault taps for three colorless mana, does not untap normally, can be untapped in upkeep for {4}, and pings while tapped. Runtime already models the fast-
 Mana Vault                              | mana vault                              | d2f38c20-79e2-4330-b6ae-ded990a465e4 | curated   | deprecated    | disabled         | battle_rule_v1:3f989c33316a642a5dc230cb618161a4 |             | {"effect": "ramp_permanent", "produces": "C", "mana_produced": 3}                                                                                                                                                                                           | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG055 2026-06-23: Disabled generated/legacy artifact mana-rock shadow after retaining an oracle-hashed trusted runtime rule for Dec
 Mana Vault                              | mana vault                              | d2f38c20-79e2-4330-b6ae-ded990a465e4 | generated | needs_review  | disabled         | battle_rule_v1:ab16a5a0ccb234e728884d215847af56 |             | {"cmc": 1.0, "effect": "ramp_permanent", "mana_produced": 3}                                                                                                                                                                                                | Seeded from known_cards_generated.json; audit before trusting.
 Mox Amber                               | mox amber                               | bcd7d52d-b4e2-42e1-9bca-768f1672bc4b | curated   | verified      | auto             | battle_rule_v1:972703914ee50acd7a4e6f529fea1adf |             | {"cmc": 0.0, "effect": "ramp_permanent", "produces": "WUBRGC", "mana_produced": 1, "battle_model_scope": "legend_gated_fast_mana_v1", "requires_legendary_creature_or_planeswalker_for_mana": true}                                                         | Oracle-reviewed on 2026-06-17 against official/Scryfall text: Mox Amber taps for one mana of any color among legendary creatures and planeswalkers you control. Runtime must not count it as live opening-hand ramp or activ
 Mox Amber                               | mox amber                               | bcd7d52d-b4e2-42e1-9bca-768f1672bc4b | curated   | deprecated    | disabled         | battle_rule_v1:a5270b2fac934dee9b6efc9d0e2ea81d |             | {"effect": "ramp_permanent", "produces": "WUBRGC", "mana_produced": 1}                                                                                                                                                                                      | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG055 2026-06-23: Disabled generated/legacy artifact mana-rock shadow after retaining an oracle-hashed trusted runtime rule for Dec
 Mox Amber                               | mox amber                               | bcd7d52d-b4e2-42e1-9bca-768f1672bc4b | generated | needs_review  | disabled         | battle_rule_v1:5112a61521124fd47e89c61029e7d3fe |             | {"cmc": 0.0, "effect": "ramp_permanent", "mana_produced": 1}                                                                                                                                                                                                | Seeded from known_cards_generated.json; audit before trusting.
 Seething Song                           | seething song                           | b8b37250-ca47-4dcc-a6d9-1675febf2587 | curated   | verified      | auto             | battle_rule_v1:3eb15dc581c6b913158f9b63c023f3d7 |             | {"cmc": 3.0, "effect": "ramp_ritual", "instant": true, "produces": "R", "mana_produced": 5, "battle_model_scope": "single_shot_red_ritual_v1"}                                                                                                              | Oracle-reviewed on 2026-06-18 against official Gatherer text: Seething Song adds five red mana immediately and then goes to the graveyard. Runtime should keep it as a one-shot ritual, not a permanent mana source or gener
 Seething Song                           | seething song                           | b8b37250-ca47-4dcc-a6d9-1675febf2587 | curated   | deprecated    | disabled         | battle_rule_v1:e74e2572d38b7bc2ac333159dfee0be0 |             | {"effect": "ramp_ritual", "mana_produced": 5}                                                                                                                                                                                                               | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG058 2026-06-23: Disabled generated/legacy simple-red-ritual shadow after retaining one oracle-hashed trusted runtime rule for Dec
 Seething Song                           | seething song                           | b8b37250-ca47-4dcc-a6d9-1675febf2587 | generated | needs_review  | disabled         | battle_rule_v1:41a31344e35504dd54da43a12481a1f1 |             | {"cmc": 3.0, "effect": "ramp_ritual", "instant": true, "mana_produced": 5}                                                                                                                                                                                  | Seeded from known_cards_generated.json; audit before trusting.
 Silence                                 | silence                                 | 6eac5767-386d-4c9e-a7e1-926e43e32e83 | curated   | verified      | auto             | battle_rule_v1:74b210b77b004a677906e0216d44e445 |             | {"cmc": 1.0, "effect": "silence_spell", "instant": true, "battle_model_scope": "silence_until_eot_v1"}                                                                                                                                                      | Oracle-reviewed on 2026-06-17 against official/Scryfall text: opponents cannot cast spells this turn. Runtime should set the until-end-of-turn silence state, not materialize a battlefield permanent.
 Silence                                 | silence                                 | 6eac5767-386d-4c9e-a7e1-926e43e32e83 | curated   | deprecated    | disabled         | battle_rule_v1:d3367950588008088c6a73c604765da0 |             | {"effect": "silence_spell", "instant": true}                                                                                                                                                                                                                | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG054 2026-06-23: Disabled silence-lock legacy/shadow row after retaining an oracle-hashed trusted runtime rule for Deck 6 L6 silen
 Silence                                 | silence                                 | 6eac5767-386d-4c9e-a7e1-926e43e32e83 | generated | needs_review  | disabled         | battle_rule_v1:8b27af907705709f0b9065304d5ea68e |             | {"cmc": 1.0, "effect": "silence_opponents", "instant": true}                                                                                                                                                                                                | Seeded from known_cards_generated.json; audit before trusting.
 Talisman of Conviction                  | talisman of conviction                  | 6a6b4572-5c96-4405-a480-45344904b697 | curated   | active        | auto             | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 |             | {"cmc": 2.0, "effect": "ramp_permanent", "produces": "CRW", "mana_produced": 1, "battle_model_scope": "pain_talisman_color_pair_partial_v1", "life_for_colored_mana": 1}                                                                                    | Oracle-reviewed on 2026-06-18 against official Gatherer text: Talisman of Conviction can tap for colorless freely or for red/white while dealing 1 damage to its controller. Runtime safely models the card as a one-mana ro
 Talisman of Conviction                  | talisman of conviction                  | 6a6b4572-5c96-4405-a480-45344904b697 | curated   | deprecated    | disabled         | battle_rule_v1:6671147cad5e2014454ed291f4b0c5ea |             | {"effect": "ramp_permanent", "mana_produced": 1}                                                                                                                                                                                                            | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG055 2026-06-23: Disabled generated/legacy artifact mana-rock shadow after retaining an oracle-hashed trusted runtime rule for Dec
 Talisman of Conviction                  | talisman of conviction                  | 6a6b4572-5c96-4405-a480-45344904b697 | generated | needs_review  | disabled         | battle_rule_v1:7b0724138094316c227d006975e0cfe4 |             | {"cmc": 2.0, "effect": "ramp_permanent"}                                                                                                                                                                                                                    | Seeded from known_cards_generated.json; audit before trusting.
 Valakut Awakening                       | valakut awakening                       | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | curated   | verified      | auto             | battle_rule_v1:245b8d2627720fadfd7a30464d07605a |             | {"cmc": 3.0, "effect": "hand_filter", "instant": true, "draw_extra": 1, "max_bottom": 99, "battle_model_scope": "bottom_then_draw_plus_one_v1"}                                                                                                             | Oracle-reviewed on 2026-06-17 against official/Scryfall text: put any number of cards from your hand on the bottom, then draw that many plus one. Runtime should use the bottom-then-draw filter helper instead of leaving i
 Valakut Awakening                       | valakut awakening                       | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | curated   | deprecated    | disabled         | battle_rule_v1:88dd44afe6b8d12389094384c46eb0d4 |             | {"effect": "hand_filter", "instant": true, "draw_extra": 1, "max_bottom": 3}                                                                                                                                                                                | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG042 disabled: legacy curated Valakut hand-filter row lacks oracle_hash and battle_model_scope; superseded by oracle-hashed bottom
 Valakut Awakening // Valakut Stoneforge | valakut awakening // valakut stoneforge | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | curated   | verified      | auto             | battle_rule_v1:6e1f3b876822abafe1de47610f46858d |             | {"cmc": 3.0, "effect": "hand_filter", "instant": true, "draw_extra": 1, "max_bottom": 99, "mdfc_land_face": {"effect": "land", "produces": "R", "enters_tapped": true, "mana_produced": 1}, "battle_model_scope": "bottom_then_draw_plus_one_mdfc_land_v1"} | Oracle-reviewed on 2026-06-17 against official/Scryfall text: front face is the hand-filter instant, back face is Valakut Stoneforge tapped red land. Runtime keeps both faces together so split-name lookups do not degrade
 Valakut Awakening // Valakut Stoneforge | valakut awakening // valakut stoneforge | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | curated   | deprecated    | disabled         | battle_rule_v1:abc2aab4f282840b48f5cc1d23c71457 |             | {"effect": "hand_filter", "instant": true, "draw_extra": 1, "max_bottom": 3, "mdfc_land_face": {"name": "Valakut Stoneforge", "effect": "land", "produces": "R", "type_line": "Land", "enters_tapped": true}}                                               | Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.                                                                                                                                    +
                                         |                                         |                                      |           |               |                  |                                                 |             |                                                                                                                                                                                                                                                             | PG042 disabled: legacy curated Valakut hand-filter row lacks oracle_hash and battle_model_scope; superseded by oracle-hashed bottom
 Valakut Awakening // Valakut Stoneforge | valakut awakening // valakut stoneforge | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | generated | needs_review  | disabled         | battle_rule_v1:1bd5dce7cffed8d0af007d20b15e8549 |             | {"cmc": 3.0, "count": 1, "effect": "draw_cards", "instant": true}                                                                                                                                                                                           | Seeded from known_cards_generated.json; audit before trusting.
(23 rows)
