 backup_rows | updated_rows | trusted_executable_rules_missing_oracle_hash 
-------------+--------------+----------------------------------------------
          44 |           44 |                                            0
(1 row)

             normalized_name             |                card_name                |                logical_rule_key                 |           oracle_hash            |       expected_oracle_hash       | hash_matches_cards_oracle 
 fellwar stone                           | Fellwar Stone                           | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba | d63befc8ac40d9a38732f9b5c1a7414a | d63befc8ac40d9a38732f9b5c1a7414a | t
 formidable speaker                      | Formidable Speaker                      | battle_rule_v1:ba0c54df93c61d9c92a11905c50b7bea | 2339245d7d8beb5a87ea1c0c8b67dc88 | 2339245d7d8beb5a87ea1c0c8b67dc88 | t
 gemstone caverns                        | Gemstone Caverns                        | battle_rule_v1:9384b4cf2ffc3b4afc5cb65fb4febaea | 2c25335e12791e77b9c19c9b3af0a413 | 2c25335e12791e77b9c19c9b3af0a413 | t
 great furnace                           | Great Furnace                           | battle_rule_v1:9a28465081dd2ac48819f94e919646a6 | ed6887f502cae452812d5f5d0a0c5792 | ed6887f502cae452812d5f5d0a0c5792 | t
 hall of heliod's generosity             | Hall of Heliod's Generosity             | battle_rule_v1:4bddcb4c084d969a7ac60a4e378b06dd | cf91d14269b30b7db1f05234d34db931 | cf91d14269b30b7db1f05234d34db931 | t
 inventors' fair                         | Inventors' Fair                         | battle_rule_v1:c11487143935b327650306d7e7e8c8e2 | 9529349d5e874f6304264ddf6a2d0c2f | 9529349d5e874f6304264ddf6a2d0c2f | t
 library of leng                         | Library of Leng                         | battle_rule_v1:b6491cf6f7d7df9a3fb0d91abd3d31c3 | 575aef3cc2523831e440ea7dcd55fa6e | 575aef3cc2523831e440ea7dcd55fa6e | t
 lumra, bellow of the woods              | Lumra, Bellow of the Woods              | battle_rule_v1:847f9ee3ec1da14f043c8a52a4dbfb52 | 6d55531f06ba4e627600f3962ad9f95f | 6d55531f06ba4e627600f3962ad9f95f | t
 mana vault                              | Mana Vault                              | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff | 35e3fd94c8453c0e326033af49ae18c8 | 35e3fd94c8453c0e326033af49ae18c8 | t
 mox amber                               | Mox Amber                               | battle_rule_v1:972703914ee50acd7a4e6f529fea1adf | e47b40cf2afc4c9ceac6bf91815da706 | e47b40cf2afc4c9ceac6bf91815da706 | t
 natural order                           | Natural Order                           | battle_rule_v1:8a9cf49fe56ad1fabdb48aead5531bd1 | 313e25b11a10c99127eca70b7fefbb75 | 313e25b11a10c99127eca70b7fefbb75 | t
 rampant growth                          | Rampant Growth                          | battle_rule_v1:439f162ed0ffa2321dd21b0692f07af4 | 4ce07a0d5e5a33a68517b988b63dbe42 | 4ce07a0d5e5a33a68517b988b63dbe42 | t
 reanimate                               | Reanimate                               | battle_rule_v1:853d724485700fc5e29a050e9f5856a4 | 5936b4653734cd7087eb67229b4efbc3 | 5936b4653734cd7087eb67229b4efbc3 | t
 runaway steam-kin                       | Runaway Steam-Kin                       | battle_rule_v1:955e0141660dfdc8b31aaf15056693aa | abe8e79d26d363a82e68a55e6c19c0b3 | abe8e79d26d363a82e68a55e6c19c0b3 | t
 sami's curiosity                        | Sami's Curiosity                        | battle_rule_v1:b25c35d72e00a057dc20945c38059d0e | d88d3c9d7319f3ce78f286614392ffbf | d88d3c9d7319f3ce78f286614392ffbf | t
 scavenging ooze                         | Scavenging Ooze                         | battle_rule_v1:c6c94f94c02d497596c4f1b1cd05a9bd | 072765012c562c0dd7e6c1965a77fa17 | 072765012c562c0dd7e6c1965a77fa17 | t
 scroll rack                             | Scroll Rack                             | battle_rule_v1:3b58ff16a7eb52fb05c1bd8517225cd2 | 8133928f03d5a5a77f2beecfcbd09e30 | 8133928f03d5a5a77f2beecfcbd09e30 | t
 seething song                           | Seething Song                           | battle_rule_v1:3eb15dc581c6b913158f9b63c023f3d7 | ccd492289c6f1c14c8fb7a248d7bbf32 | ccd492289c6f1c14c8fb7a248d7bbf32 | t
 silence                                 | Silence                                 | battle_rule_v1:74b210b77b004a677906e0216d44e445 | a0ca3c09a7db091c435ab31adb9c1780 | a0ca3c09a7db091c435ab31adb9c1780 | t
 skullclamp                              | Skullclamp                              | battle_rule_v1:f996204e0cd900b700b6bf7defb607a6 | 01408ac2502c74e39791c1779ab33833 | 01408ac2502c74e39791c1779ab33833 | t
 soul-guide lantern                      | Soul-Guide Lantern                      | battle_rule_v1:3454aa122d10a4abd906132eb7745339 | 6a9e4cf9a4397715ccd0737e1b8cf270 | 6a9e4cf9a4397715ccd0737e1b8cf270 | t
 splendid reclamation                    | Splendid Reclamation                    | battle_rule_v1:323e4e2c6e95da761c1614e4dff44778 | 81249444bdb32006d5e687858df04b9a | 81249444bdb32006d5e687858df04b9a | t
 staff of compleation                    | Staff of Compleation                    | battle_rule_v1:d464d25de43eb912c79baea1cee783e5 | 6b66f4e89a1a484d4fd15b2acc365603 | 6b66f4e89a1a484d4fd15b2acc365603 | t
 sunbaked canyon                         | Sunbaked Canyon                         | battle_rule_v1:07c97c73f65d524510e30b6bbfca0b61 | eae946655b75e4666adfbdb760bee0ff | eae946655b75e4666adfbdb760bee0ff | t
 talisman of conviction                  | Talisman of Conviction                  | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 | d49ceec937367a344a9f0948eea4f8f2 | d49ceec937367a344a9f0948eea4f8f2 | t
 unexpected windfall                     | Unexpected Windfall                     | battle_rule_v1:f9f98ea1925518eea7a7c94c21ef2dc4 | 9c4fbe06104051a2e8b1d295d307b26a | 9c4fbe06104051a2e8b1d295d307b26a | t
 urza's saga                             | Urza's Saga                             | battle_rule_v1:b62b6dfa5cdc9db4b8b21faf7bfc0498 | 43e3b1636425f22bbd834442ddb93bc0 | 43e3b1636425f22bbd834442ddb93bc0 | t
 valakut awakening                       | Valakut Awakening                       | battle_rule_v1:245b8d2627720fadfd7a30464d07605a | 22b42fcc181b7aed71f78b2e1e51e887 | 22b42fcc181b7aed71f78b2e1e51e887 | t
 valakut awakening // valakut stoneforge | Valakut Awakening // Valakut Stoneforge | battle_rule_v1:6e1f3b876822abafe1de47610f46858d | 22b42fcc181b7aed71f78b2e1e51e887 | 22b42fcc181b7aed71f78b2e1e51e887 | t
 vexing bauble                           | Vexing Bauble                           | battle_rule_v1:6a85170698c85498bf618c0c0283a770 | 020e696ec9560830bb82bf0244595d69 | 020e696ec9560830bb82bf0244595d69 | t
 wall of omens                           | Wall of Omens                           | battle_rule_v1:ee84dfe5a22708bf0b0ef435699ed7a4 | 755be179e545f27507f78b6a79a34485 | 755be179e545f27507f78b6a79a34485 | t
 war room                                | War Room                                | battle_rule_v1:9cdb33ac0e813c0a25d960b65dbc7417 | d9c250570bb91d94ceae9fcd74081ef5 | d9c250570bb91d94ceae9fcd74081ef5 | t
 wayfarer's bauble                       | Wayfarer's Bauble                       | battle_rule_v1:97eb0d5868d1c777b74aa7d35fc85eab | f11935fa793ae03d95ae75d62cdfa516 | f11935fa793ae03d95ae75d62cdfa516 | t
 worldfire                               | Worldfire                               | battle_rule_v1:1b9bb9bfd6774cc55d21e50009efa9f3 | dfb75aa49416e7e281ad8e5cdcf721fa | dfb75aa49416e7e281ad8e5cdcf721fa | t
 zuran orb                               | Zuran Orb                               | battle_rule_v1:d977323f1ef9834d148ef87dc519ba37 | 5fef1974ee8b02952ac5612ea66c5c33 | 5fef1974ee8b02952ac5612ea66c5c33 | t
(44 rows)

